,environment_score,governance_score,social_score,environment_grade,social_grade,governance_grade,Name,Returns,Variance,clusters,sharpe
EW,290.0,320.0,326.0,B,BB,BB,Edwards Lifesciences Corporation,-0.07275236484680792,0.5607266939395099,1.0,-0.1297465692879182
FDX,330.0,275.0,270.0,BB,B,B,FedEx Corporation,0.3271781999653537,0.33648175354596427,0.0,0.9723504960296764
EOG,423.0,240.0,256.0,BBB,B,B,"EOG Resources, Inc.",0.5782408614546884,0.48943241638941193,4.0,1.1814519065173994
FIS,570.0,310.0,340.0,A,BB,BB,"Fidelity National Information Services, Inc.",-0.08670327325443974,0.2957718954535086,1.0,-0.2931423660841648
NSC,352.0,335.0,358.0,BB,BB,BB,Norfolk Southern Corporation,0.25036046563871833,0.265153337611575,0.0,0.9442101234474112
ICE,500.0,305.0,302.0,A,BB,BB,"Intercontinental Exchange, Inc.",0.1501765932807043,0.20849699482831122,1.0,0.7202818122360402
CL,520.0,310.0,315.0,A,BB,BB,Colgate-Palmolive Company,0.06601921109008328,0.16779668235211703,1.0,0.3934476544151431
HCA,525.0,310.0,345.0,A,BB,BB,"HCA Healthcare, Inc.",0.43519272515872665,0.36965881534261175,4.0,1.1772821507188351
BDX,607.0,320.0,404.0,AA,BBB,BB,"Becton, Dickinson and Company",0.009166632167320353,0.22421532802433486,1.0,0.0408831646261288
SO,535.0,310.0,353.0,A,BB,BB,The Southern Company,0.1653761444036941,0.19899816032924242,1.0,0.8310435841722321
ITW,550.0,315.0,332.0,A,BB,BB,Illinois Tool Works Inc.,0.13305441680914312,0.21507419748201262,1.0,0.6186442556423856
CCI,551.0,305.0,341.0,A,BB,BB,Crown Castle International Corp. (REIT),0.10953967464707869,0.24012288067844337,1.0,0.4561817446866588
SHW,395.0,240.0,288.0,BB,B,B,The Sherwin-Williams Company,-0.08874102536695426,0.5253346193788865,1.0,-0.16892285810494373
MMC,500.0,300.0,300.0,A,BB,BB,"Marsh & McLennan Companies, Inc.",0.26755858751885075,0.19884820938293507,0.0,1.3455418499826448
GM,410.0,205.0,338.0,BBB,BB,B,General Motors Company,0.38973621689372334,0.4188676992543739,4.0,0.9304518290321563
CI,499.0,343.0,324.0,BBB,BB,BB,Cigna Corporation,0.19242573864192783,0.3059971005135834,0.0,0.6288482417609899
F,245.0,200.0,234.0,B,B,B,Ford Motor Company,0.6352557731148502,0.4447891818385706,4.0,1.4282176794160577
DUK,605.0,321.0,322.0,AA,BB,BB,Duke Energy Corporation,0.16336965184060687,0.19526084863391802,1.0,0.8366738800101094
CME,365.0,300.0,240.0,BB,B,BB,CME Group Inc.,0.15170071485204537,0.2505732039380933,1.0,0.6054147549213785
TFC,425.0,305.0,409.0,BBB,BBB,BB,Truist Financial Corporation,0.22563013814834867,0.3790469770490609,0.0,0.5952563977819163
TJX,500.0,300.0,300.0,A,BB,BB,"The TJX Companies, Inc.",0.17594492099317813,0.31802408805976123,1.0,0.5532440076052213
USB,368.0,290.0,300.0,BB,BB,B,U.S. Bancorp,0.23190768513670953,0.34692739217578406,0.0,0.6684617310909962
PNC,420.0,300.0,323.0,BBB,BB,BB,"The PNC Financial Services Group, Inc.",0.2981443406871452,0.3211713904749609,0.0,0.9283029233900242
ZTS,505.0,315.0,362.0,A,BB,BB,Zoetis Inc.,0.19310488246396978,0.2341284542101359,0.0,0.8247817768046831
MO,525.0,366.0,300.0,A,BB,BB,"Altria Group, Inc.",0.2171375743913986,0.22936590352582137,0.0,0.9466863690441848
SYK,500.0,315.0,305.0,A,BB,BB,Stryker Corporation,0.18880079323400656,0.274753440162286,0.0,0.6871644377682383
SPGI,473.0,300.0,308.0,BBB,BB,BB,S&P Global Inc.,0.1682754109958117,0.24399574763611814,1.0,0.6896653430483896
BKNG,500.0,300.0,302.0,A,BB,BB,Booking Holdings Inc,0.3014656410711644,0.39550323978602897,0.0,0.7622330508196601
MMM,505.0,320.0,343.0,A,BB,BB,3M Company,0.011416333277007334,0.22698210062986235,1.0,0.050296183026448615
TGT,613.0,315.0,352.0,AA,BB,BB,Target Corporation,0.3952555758047671,0.26787482449092276,0.0,1.4755234149230803
NOW,590.0,320.0,334.0,A,BB,BB,"ServiceNow, Inc.",0.233434851114088,0.4089390970916345,0.0,0.570830357806997
ANTM,505.0,300.0,306.0,A,BB,BB,"Anthem, Inc.",0.3503576633557262,0.2863927175818419,0.0,1.2233469702511033
LMT,505.0,308.0,309.0,A,BB,BB,Lockheed Martin Corporation,0.09277014603862639,0.23773134019194897,1.0,0.39023103122929415
