,environment_score,governance_score,social_score,environment_grade,social_grade,governance_grade,Name,Returns,Variance,clusters,sharpe
MSI,515.0,352.0,325.0,A,BB,BB,"Motorola Solutions, Inc.",0.24206774548112042,0.26008598302366914,0.0,0.9307219968832039
CMG,215.0,205.0,213.0,B,B,B,"Chipotle Mexican Grill, Inc.",0.30804555102220404,0.3254938535078016,0.0,0.9463943718212814
MCK,500.0,330.0,320.0,A,BB,BB,McKesson Corporation,0.44735955670853256,0.25713632375768086,0.0,1.7397758129657073
CTAS,500.0,300.0,300.0,A,BB,BB,Cintas Corporation,0.3608749179995742,0.28451027918279365,0.0,1.268407310400611
RSG,286.0,226.0,270.0,B,B,B,"Republic Services, Inc.",0.29676398907496737,0.19377916383598212,0.0,1.531454585727046
SYY,545.0,295.0,353.0,A,BB,B,Sysco Corporation,0.2959221136754164,0.3592200723522293,0.0,0.8237905853580844
AZO,220.0,200.0,214.0,B,B,B,"AutoZone, Inc.",0.36108500027644397,0.2417594106608776,0.0,1.4935716433514457
PH,315.0,220.0,303.0,BB,BB,B,Parker-Hannifin Corporation,0.32343900350170224,0.3125062481345184,0.0,1.0349841177014734
A,313.0,210.0,224.0,BB,B,B,"Agilent Technologies, Inc.",0.2649817905642573,0.24085567519990217,0.0,1.100168349134108
IDXX,553.0,305.0,401.0,A,BBB,BB,"IDEXX Laboratories, Inc.",0.28004319717793863,0.32416052018670505,0.0,0.863902849787641
DD,620.0,315.0,320.0,AA,BB,BB,"DuPont de Nemours, Inc.",0.24380478621103183,0.31297911019663593,0.0,0.7789810190777786
TT,700.0,330.0,375.0,AA,BB,BB,Trane Technologies plc,0.2889141215743356,0.28190769480489963,0.0,1.0248536201691298
HSY,510.0,305.0,300.0,A,BB,BB,The Hershey Company,0.2876563240143729,0.17475151754911844,0.0,1.6460877024059013
MSCI,535.0,300.0,300.0,A,BB,BB,MSCI Inc.,0.18954809759409694,0.3275322079192661,0.0,0.5787159033862677
