stock_symbol,esg_id,Name,exchange_symbol,environment_grade,environment_level,social_grade,social_level,governance_grade,governance_level,total_grade,total_level,disclaimer,last_processing_date,environment_score,social_score,governance_score,total
SEDG,6565,"SolarEdge Technologies, Inc.",NASDAQ,AA,Excellent,BB,Medium,B,Medium,A,High,"ESG Enterprise's ESG Rating data (""Scores"") are all based on public information and provided for informational purposes only. No member of ESG Enterprise or related parties make any prediction, warranty or representation whatsoever, expressly or impliedly, either as to the suitability of our Scores for any particular purposes or the validity of any derivative analysis or conclusion based on the Scores.",27-01-2022,740,302,250,1292
RE,2604,"Everest Re Group, Ltd.",NYSE,BBB,High,B,Medium,B,Medium,BBB,High,"ESG Enterprise's ESG Rating data (""Scores"") are all based on public information and provided for informational purposes only. No member of ESG Enterprise or related parties make any prediction, warranty or representation whatsoever, expressly or impliedly, either as to the suitability of our Scores for any particular purposes or the validity of any derivative analysis or conclusion based on the Scores.",25-01-2022,448,272,290,1010
DVA,2100,DaVita Inc.,NYSE,B,Medium,BB,Medium,BB,Medium,BB,Medium,"ESG Enterprise's ESG Rating data (""Scores"") are all based on public information and provided for informational purposes only. No member of ESG Enterprise or related parties make any prediction, warranty or representation whatsoever, expressly or impliedly, either as to the suitability of our Scores for any particular purposes or the validity of any derivative analysis or conclusion based on the Scores.",25-01-2022,220,300,300,820
XRAY,2136,DENTSPLY SIRONA Inc.,NASDAQ,BBB,High,B,Medium,B,Medium,BB,Medium,"ESG Enterprise's ESG Rating data (""Scores"") are all based on public information and provided for informational purposes only. No member of ESG Enterprise or related parties make any prediction, warranty or representation whatsoever, expressly or impliedly, either as to the suitability of our Scores for any particular purposes or the validity of any derivative analysis or conclusion based on the Scores.",25-01-2022,460,253,230,943
WRK,7727,WestRock Company,NYSE,A,High,BB,Medium,BB,Medium,BBB,High,"ESG Enterprise's ESG Rating data (""Scores"") are all based on public information and provided for informational purposes only. No member of ESG Enterprise or related parties make any prediction, warranty or representation whatsoever, expressly or impliedly, either as to the suitability of our Scores for any particular purposes or the validity of any derivative analysis or conclusion based on the Scores.",28-01-2022,535,318,300,1153
JKHY,3957,"Jack Henry & Associates, Inc.",NASDAQ,BB,Medium,B,Medium,BB,Medium,BB,Medium,"ESG Enterprise's ESG Rating data (""Scores"") are all based on public information and provided for informational purposes only. No member of ESG Enterprise or related parties make any prediction, warranty or representation whatsoever, expressly or impliedly, either as to the suitability of our Scores for any particular purposes or the validity of any derivative analysis or conclusion based on the Scores.",26-01-2022,365,277,310,952
HST,3567,"Host Hotels & Resorts, Inc.",NASDAQ,A,High,BB,Medium,BB,Medium,BBB,High,"ESG Enterprise's ESG Rating data (""Scores"") are all based on public information and provided for informational purposes only. No member of ESG Enterprise or related parties make any prediction, warranty or representation whatsoever, expressly or impliedly, either as to the suitability of our Scores for any particular purposes or the validity of any derivative analysis or conclusion based on the Scores.",26-01-2022,505,318,318,1141
REG,6024,Regency Centers Corporation,NASDAQ,A,High,BB,Medium,BB,Medium,A,High,"ESG Enterprise's ESG Rating data (""Scores"") are all based on public information and provided for informational purposes only. No member of ESG Enterprise or related parties make any prediction, warranty or representation whatsoever, expressly or impliedly, either as to the suitability of our Scores for any particular purposes or the validity of any derivative analysis or conclusion based on the Scores.",27-01-2022,570,372,365,1307
APA,489,Apache Corporation,NASDAQ,BBB,High,BB,Medium,BB,Medium,BBB,High,"ESG Enterprise's ESG Rating data (""Scores"") are all based on public information and provided for informational purposes only. No member of ESG Enterprise or related parties make any prediction, warranty or representation whatsoever, expressly or impliedly, either as to the suitability of our Scores for any particular purposes or the validity of any derivative analysis or conclusion based on the Scores.",24-01-2022,410,323,325,1058
CMA,1767,Comerica Incorporated,NYSE,B,Medium,BB,Medium,B,Medium,BB,Medium,"ESG Enterprise's ESG Rating data (""Scores"") are all based on public information and provided for informational purposes only. No member of ESG Enterprise or related parties make any prediction, warranty or representation whatsoever, expressly or impliedly, either as to the suitability of our Scores for any particular purposes or the validity of any derivative analysis or conclusion based on the Scores.",25-01-2022,280,300,230,810
