,environment_score,governance_score,social_score,environment_grade,social_grade,governance_grade,Name
ABC,523.0,329.0,310.0,A,BB,BB,AmerisourceBergen Corporation
FRC,290.0,283.0,319.0,B,BB,B,First Republic Bank
BKR,500.0,300.0,302.0,A,BB,BB,Baker Hughes Company
AWK,598.0,300.0,399.0,A,BB,BB,"American Water Works Company, Inc."
WY,643.0,300.0,325.0,AA,BB,BB,Weyerhaeuser Company
WST,535.0,305.0,330.0,A,BB,BB,"West Pharmaceutical Services, Inc."
ARE,600.0,360.0,362.0,AA,BB,BB,"Alexandria Real Estate Equities, Inc."
NDAQ,510.0,305.0,314.0,A,BB,BB,"Nasdaq, Inc."
CPRT,265.0,200.0,203.0,B,B,B,"Copart, Inc."
ED,571.0,315.0,362.0,A,BB,BB,"Consolidated Edison, Inc."
ES,559.0,305.0,427.0,A,BBB,BB,Eversource Energy
KEYS,515.0,305.0,321.0,A,BB,BB,"Keysight Technologies, Inc."
DHI,240.0,200.0,203.0,B,B,B,"D.R. Horton, Inc."
WEC,635.0,300.0,431.0,AA,BBB,BB,"WEC Energy Group, Inc."
MTCH,240.0,316.0,374.0,B,BB,BB,"Match Group, Inc."
FITB,445.0,255.0,322.0,BBB,BB,B,Fifth Third Bancorp
BLL,500.0,300.0,300.0,A,BB,BB,Ball Corporation
AME,525.0,245.0,305.0,A,BB,B,"AMETEK, Inc."
AJG,530.0,310.0,344.0,A,BB,BB,Arthur J. Gallagher & Co.
SIVB,510.0,300.0,323.0,A,BB,BB,SVB Financial Group
LYB,592.0,320.0,354.0,A,BB,BB,LyondellBasell Industries N.V.
CBRE,210.0,210.0,215.0,B,B,B,"CBRE Group, Inc."
CMI,530.0,305.0,348.0,A,BB,BB,Cummins Inc.
MTD,505.0,240.0,300.0,A,BB,B,Mettler-Toledo International Inc.
LVS,505.0,305.0,302.0,A,BB,BB,Las Vegas Sands Corp.
EQR,240.0,200.0,206.0,B,B,B,Equity Residential
RMD,335.0,300.0,351.0,BB,BB,BB,ResMed Inc.
TSN,563.0,315.0,384.0,A,BB,BB,"Tyson Foods, Inc."
TDG,500.0,300.0,300.0,A,BB,BB,TransDigm Group Incorporated
ODFL,387.0,280.0,378.0,BB,BB,B,"Old Dominion Freight Line, Inc."
PEG,500.0,205.0,300.0,A,BB,B,Public Service Enterprise Group Incorporated
AVB,500.0,298.0,300.0,A,BB,B,"AvalonBay Communities, Inc."
DFS,355.0,310.0,327.0,BB,BB,BB,Discover Financial Services
ROK,270.0,210.0,222.0,B,B,B,"Rockwell Automation, Inc."
KR,505.0,300.0,319.0,A,BB,BB,The Kroger Co.
